Generation,Density 0,1,Density 0,3,Density 0,5,Density 0,6,Density 0,7
93,57,98,76,105,NA
94,61,107,87,89,NA
95,68,110,86,98,NA
96,57,92,94,88,NA
97,64,90,77,94,NA
98,57,93,96,88,NA
99,70,90,90,96,NA
100,58,86,88,104,NA
101,60,98,83,86,NA
102,54,104,79,90,NA
103,52,84,81,84,NA
104,57,99,101,89,NA
105,57,88,72,81,NA
106,63,101,69,82,NA
107,61,99,67,91,NA
108,67,121,68,101,NA
109,69,108,65,87,NA
110,64,128,69,103,NA
111,68,116,60,87,NA
112,58,116,67,96,NA
113,67,109,64,101,NA
114,61,98,62,104,NA
115,60,94,65,106,NA
116,59,96,61,114,NA
117,51,90,59,102,NA
118,51,92,60,122,NA
119,52,79,60,99,NA
120,46,94,76,95,NA
121,54,79,69,90,NA
122,45,82,75,101,NA
123,50,79,67,102,NA
124,51,91,63,83,NA
125,46,89,61,81,NA
126,32,82,54,77,NA
127,29,84,58,73,NA
128,26,76,59,82,NA
129,24,90,68,81,NA
130,29,84,63,82,NA
131,28,87,53,81,NA
132,32,78,58,89,NA
133,34,91,61,79,NA
134,44,89,58,78,NA
135,35,89,45,81,NA
136,33,100,50,79,NA
137,39,88,53,88,NA
138,31,83,53,97,NA
139,31,92,59,91,NA
140,31,106,57,93,NA
141,31,99,82,91,NA
142,31,98,58,97,NA
143,31,105,63,93,NA
144,31,97,45,107,NA
145,31,99,44,92,NA
146,31,97,45,100,NA
147,31,101,54,81,NA
148,31,104,59,80,NA
149,31,115,58,78,NA
150,31,108,68,80,NA
151,31,107,65,80,NA
152,31,112,80,77,NA
153,31,96,70,82,NA
154,31,104,79,81,NA
155,31,120,75,84,NA
156,31,113,91,76,NA
157,31,133,75,78,NA
158,31,104,79,89,NA
159,31,97,80,73,NA
160,31,89,83,82,NA
161,31,97,77,74,NA
162,NA,85,87,65,NA
163,NA,103,79,78,NA
164,NA,97,83,65,NA
165,NA,105,77,67,NA
166,NA,93,79,69,NA
167,NA,92,74,68,NA
168,NA,96,71,76,NA
169,NA,104,71,77,NA
170,NA,113,82,83,NA
171,NA,106,79,75,NA
172,NA,113,84,77,NA
173,NA,118,85,79,NA
174,NA,116,94,86,NA
175,NA,102,92,86,NA
176,NA,103,92,75,NA
177,NA,100,89,70,NA
178,NA,89,85,63,NA
179,NA,97,90,62,NA
180,NA,112,88,62,NA
181,NA,86,88,62,NA
182,NA,92,103,76,NA
183,NA,79,94,60,NA
184,NA,88,109,62,NA
185,NA,83,98,58,NA
186,NA,98,107,59,NA
187,NA,84,112,60,NA
